"Ano","Ambos sexos","Hombre","Mujer"
"2018",3.54503582395087,4.01773948302078,3.06304909560723
"2019",3.6194602624412,4.12775330396476,3.09919839679359
"2020",3.89509827137106,4.36270396270396,3.41241578440808
"2021",4.22360248447205,4.77675700505282,3.66866359447005
"2022",4.20289532293987,4.68642193719593,3.71242709735307
"2023",3.97357814599194,4.45336903168228,3.49033707865169
"2024",4.05484378512025,4.50729765590447,3.58729433272395
"2025",3.84567617295308,4.27172413793103,3.41923607915324
