"","Facultad","Ano","Ambos sexos","Hombre","Mujer"
"117","Estudios Estadísticos","2022",154,95,59
"118","Estudios Estadísticos","2023",131,73,58
"119","Estudios Estadísticos","2024",143,90,53
"120","Estudios Estadísticos","2025",132,70,62
"121","Farmacia","2018",842,310,532
"122","Farmacia","2019",852,332,520
"123","Farmacia","2020",1006,365,641
"124","Farmacia","2021",970,382,588
"125","Farmacia","2022",1128,403,725
"126","Farmacia","2023",1034,336,698
"127","Farmacia","2024",984,349,635
"128","Farmacia","2025",885,272,613
"129","Filología","2018",851,411,440
"130","Filología","2019",1126,592,534
"131","Filología","2020",1130,573,557
"132","Filología","2021",1141,566,575
"133","Filología","2022",1157,562,595
"134","Filología","2023",1126,555,571
"135","Filología","2024",1134,524,610
"136","Filología","2025",896,452,444
"137","Filosofía","2018",358,247,111
"138","Filosofía","2019",270,198,72
"139","Filosofía","2020",288,193,95
"140","Filosofía","2021",399,276,123
"141","Filosofía","2022",335,239,96
"142","Filosofía","2023",354,259,95
"143","Filosofía","2024",376,277,99
"144","Filosofía","2025",305,213,92
"145","Geografía e Historia","2018",954,613,341
"146","Geografía e Historia","2019",1053,658,395
"147","Geografía e Historia","2020",961,572,389
"148","Geografía e Historia","2021",1160,723,437
"149","Geografía e Historia","2022",1144,699,445
"150","Geografía e Historia","2023",1019,607,412
"151","Geografía e Historia","2024",979,596,383
"152","Geografía e Historia","2025",868,515,353
"153","Informática","2018",265,243,22
"154","Informática","2019",232,214,18
"155","Informática","2020",200,187,13
"156","Informática","2021",164,151,13
"157","Informática","2022",159,142,17
"158","Informática","2023",198,179,19
"159","Informática","2024",147,132,15
"160","Informática","2025",160,137,23
"161","Medicina","2018",2867,1888,979
"162","Medicina","2019",2944,1926,1018
"163","Medicina","2020",3584,2396,1188
"164","Medicina","2021",4613,3010,1603
"165","Medicina","2022",4064,2642,1422
"166","Medicina","2023",3817,2495,1322
"167","Medicina","2024",3493,2207,1286
"168","Medicina","2025",3670,2274,1396
"169","Odontología","2018",274,153,121
"170","Odontología","2019",362,217,145
"171","Odontología","2020",375,223,152
"172","Odontología","2021",431,268,163
"173","Odontología","2022",439,239,200
"174","Odontología","2023",411,243,168
"175","Odontología","2024",427,234,193
"176","Odontología","2025",483,275,208
"177","Psicología","2018",436,194,242
"178","Psicología","2019",436,238,198
"179","Psicología","2020",569,272,297
"180","Psicología","2021",678,346,332
"181","Psicología","2022",738,378,360
